time,seconds_elapsed,activity
1773230432820000000,16.438,unknown
1773230457727000000,41.345,tilting
1773230457776000000,41.394,unknown
1773230482716000000,66.334,unknown
1773230505779000000,89.397,cycling
1773230524747000000,108.365,unknown
1773230547923000000,131.541,automotive
1773230572888000000,156.506,automotive
1773230598190000000,181.80800024414063,unknown
1773230623480000000,207.098,unknown
1773230648746000000,232.36399975585937,tilting
1773230648800000000,232.418,unknown
1773230674103000000,257.721,automotive
1773230699387000000,283.005,unknown
