time,seconds_elapsed,steps
1773231947232689400,-0.177310546875,0
1773231947788738600,0.378738525390625,1
1773231948268734700,0.858734619140625,2
1773231948748716500,1.338716552734375,3
1773231949228727800,1.818727783203125,4
1773231949788721700,2.3787216796875,5
1773231950268735200,2.8587353515625,6
1773231950828732200,3.418732177734375,7
1773231951388731000,3.97873095703125,8
1773231951868741600,4.45874169921875,9
1773231952348723200,4.93872314453125,10
1773231952908717000,5.498717041015625,11
1773231953948662500,6.53866259765625,13
1773231954908652300,7.49865234375,15
1773231955948657700,8.53865771484375,17
1773231956988661800,9.578661865234375,19
1773231957948652000,10.538652099609376,21
1773231958988656600,11.57865673828125,23
1773231960028710400,12.61871044921875,25
1773231961228724500,13.818724365234376,27
1773231962028708900,14.618708984375,29
1773231962988731400,15.5787314453125,31
1773231964028709000,16.618709228515623,33
1773231964988744700,17.57874462890625,35
1773231966188728000,18.77872802734375,37
1773231966908727800,19.498727783203126,39
1773231967948739000,20.538739013671876,41
1773231968908732000,21.49873193359375,43
1773231970108717000,22.698717041015627,45
1773231970908703000,23.498702880859376,47
1773231971868723700,24.4587236328125,49
1773231972828714000,25.4187138671875,51
1773231973868721700,26.4587216796875,53
1773231974348738300,26.93873828125,54
1773231974828750300,27.418750244140625,55
1773231975468732200,28.058732177734374,56
1773231975788741400,28.378741455078124,57
1773231976188734000,28.77873388671875,58
1773231976828752600,29.418752685546874,59
1773231977388747300,29.978747314453123,60
1773231978028733000,30.61873291015625,61
1773231978508743700,31.09874365234375,62
1773231978988756000,31.578755859375,63
1773231979468738300,32.05873828125,64
1773231979868761600,32.45876171875,65
1773231980268755000,32.8587548828125,66
1773231980668752000,33.258751953125,67
1773231981068744400,33.658744384765626,68
1773231981468725000,34.05872509765625,69
1773231981948735000,34.53873486328125,70
1773231982348728300,34.93872827148437,71
1773231982748722000,35.338721923828125,72
1773231983228733200,35.81873315429687,73
1773231983548741000,36.1387412109375,74
1773231984028722200,36.61872216796875,75
1773231984428746500,37.01874658203125,76
1773231984988745700,37.578745849609376,77
1773231985468726300,38.058726318359376,78
1773231985948737300,38.5387373046875,79
1773231986348728600,38.938728515625,80
1773231986748724000,39.338723876953125,81
1773231987228683800,39.818683837890624,82
1773231987628678400,40.218678466796874,83
1773231988028669200,40.61866918945312,84
1773231988508681700,41.098681640625,85
1773231989068679700,41.6586796875,86
1773231989468670000,42.058669921875,87
1773231990028669700,42.618669677734374,88
1773231990428690400,43.0186904296875,89
1773231991068676600,43.65867651367188,90
1773231991548683800,44.138683837890625,91
1773231992268684800,44.85868481445313,92
1773231992668725000,45.25872509765625,93
1773231993068719900,45.658719970703125,94
1773231993468714500,46.058714599609374,95
1773231993868736500,46.45873657226562,96
1773231994268732400,46.858732421875,97
1773231994668725500,47.2587255859375,98
1773231995148737800,47.73873779296875,99
1773231995628716500,48.21871655273438,100
1773231996188714500,48.77871459960937,101
1773231996508723000,49.09872290039063,102
1773231997148737800,49.73873779296875,103
1773231997468710000,50.0587099609375,104
1773231998988726500,51.5787265625,105
1773231999468707800,52.058707763671876,106
1773232000028705000,52.618705078125,107
1773232000508719400,53.09871923828125,108
1773232000988728600,53.578728515625,109
1773232001468710100,54.05871020507813,110
1773232002028706800,54.618706787109375,111
1773232002508717800,55.0987177734375,112
